src,dest,ret_count,tot_count
RI,PA,886,1144
IA,CA,2518,3795
CO,ID,1566,2053
NJ,TN,2469,3360
MA,WI,908,1203
WY,PA,106,144
MA,VA,4467,5855
IN,LA,1297,1846
MS,FL,4996,7242
IA,MS,313,421
NY,WI,1593,2164
UT,MT,1110,1788
NJ,MO,1452,1851
IL,CO,5473,7228
MI,VT,256,331
WV,LA,171,222
CT,AZ,857,1149
AR,DE,58,77
IL,IA,9459,13099
NJ,WV,566,686
VT,OK,24,30
DE,AR,47,54
OK,NJ,432,619
NM,NE,114,154
ND,VT,9,13
IL,WY,376,509
MT,KY,76,105
IA,NV,436,591
AZ,WV,153,183
CT,MD,2339,2931
OH,AZ,3624,4855
NH,MI,343,460
VA,SC,9177,12073
KY,SC,2147,2932
NV,ID,656,862
CT,DE,579,718
IA,NY,1119,1564
NC,MO,3051,4010
NC,WV,2748,3495
IA,FL,3361,4868
MO,NV,1138,1548
AZ,TN,1497,1972
TN,NM,760,1029
KS,AL,676,871
KS,OH,1328,1836
TX,CO,17676,24156
IA,GA,1249,1716
TX,ME,926,1244
WY,RI,7,13
LA,TX,21361,31551
NY,OR,1009,1320
UT,CA,9742,14988
KS,ND,221,301
GA,AL,18942,27712
RI,RI,1220,1792
IL,KY,7533,9930
MI,CA,7788,11605
ND,NV,87,111
FL,IN,4209,5752
MN,GA,2943,3952
DE,OK,69,92
NY,VA,11952,15634
ME,MO,174,217
DE,WA,147,192
NE,NM,187,250
ND,CA,434,616
IN,NJ,1694,2358
WV,NJ,431,627
ME,WV,74,96
MN,CT,745,946
MD,CA,7297,10407
CA,PA,6462,8649
SC,RI,285,382
IA,OR,351,472
VA,ND,165,235
FL,PA,10017,13884
WY,NY,120,177
NE,IL,3014,4051
MS,AZ,361,517
DC,SD,47,61
RI,SD,12,13
DE,DE,1410,2002
IL,IL,70389,100533
MS,OK,460,615
WV,KS,63,93
MN,ME,315,416
VA,OH,6139,8266
MN,CO,3607,4726
MD,GA,4434,5919
FL,RI,1092,1422
CT,NH,1861,2437
WY,SD,741,967
MN,DC,1027,1288
TN,LA,4298,6211
WV,TX,748,1029
MT,TX,783,1156
SD,CT,40,57
NM,SC,153,181
AZ,MO,1699,2241
IN,DE,259,327
CT,MT,55,72
ME,NH,1927,2654
MS,ID,59,85
UT,CT,187,266
IL,MA,4166,5484
ME,MT,25,36
OH,NH,568,737
CO,NV,3193,4264
WA,SC,642,846
OK,WI,401,550
TX,KS,6321,8305
NH,WV,70,89
RI,DC,267,327
MD,CO,2121,2731
ID,RI,16,18
DC,MI,211,274
LA,RI,89,112
MI,CO,2415,3317
ID,CO,1122,1510
MI,IA,1492,1956
KY,AL,3144,4473
OH,MT,367,486
CT,NV,316,420
SD,ME,18,22
NJ,KY,995,1261
MI,ME,433,601
ID,IA,139,189
NM,ND,52,85
NH,MO,277,363
NH,SC,375,489
MD,WY,94,121
WI,MN,12079,16014
DE,NH,61,78
WI,MS,567,768
SD,DC,108,126
MI,WY,174,217
OR,ND,84,105
TN,NJ,1912,2661
NC,NH,660,848
NE,KS,3823,5215
VT,WV,45,52
MD,FL,10893,15503
TX,IL,17898,24217
WY,NE,339,430
SD,SD,5067,7107
RI,NE,38,54
NJ,CO,1552,2033
AL,MT,141,199
OK,IN,694,922
NJ,IA,389,508
IA,WY,243,321
SD,NY,207,274
KY,ND,69,91
NV,TN,499,685
TX,IN,5407,7337
UT,LA,485,658
WI,NY,3028,4176
MI,NJ,2263,3128
MS,TN,7185,10230
DC,NJ,701,910
ND,IL,405,541
LA,NY,1480,2082
MT,OH,174,232
ME,SD,27,31
OR,AL,221,292
WA,ND,230,284
MS,WV,77,104
OK,IA,622,882
IN,VA,2568,3480
IN,OR,611,832
MT,MN,407,528
WI,FL,6040,8704
MA,WV,216,271
MT,ND,456,629
MN,KS,1947,2503
IN,WY,175,250
WV,RI,28,34
ND,NJ,52,75
IA,MA,457,611
MO,NM,682,913
OH,NV,1890,2541
CT,ID,61,82
AR,LA,3195,4750
MI,IL,19740,26715
MI,MA,2283,3038
LA,NE,186,244
VA,AR,783,1023
NJ,TX,5830,7893
VA,WA,2347,3192
IL,OH,13957,18604
IL,MN,9809,13225
UT,NJ,516,685
IL,MS,1765,2443
FL,WA,3652,5166
MA,MO,1017,1241
MD,IL,3781,4892
TX,SC,4664,6345
MD,MA,3096,4084
WA,AL,480,618
NE,PA,602,805
ND,KS,121,164
MS,MO,1185,1669
UT,IL,1559,2060
RI,DE,83,100
ID,NE,181,235
WY,DE,9,10
AR,MI,364,516
NE,NC,553,761
KY,UT,363,507
IL,DC,2445,3024
FL,AL,14088,19663
DE,NJ,1402,1945
OH,LA,2303,3148
OR,AZ,2065,2742
TX,NE,2723,3572
UT,WI,412,576
ME,VT,727,933
AL,IL,2476,3346
MD,SC,3483,4530
ID,SC,129,185
NV,KY,223,282
CT,TN,988,1267
VT,TX,321,409
WV,UT,73,102
DC,VA,2281,3081
SC,CT,715,939
MT,WA,1615,2172
NJ,OH,3911,5214
TX,NY,15925,22440
NJ,MS,248,313
PA,MS,677,877
NH,SD,29,35
DC,CO,470,613
ND,PA,126,169
AL,NJ,803,1103
ND,WI,333,464
ND,VA,119,144
MD,ND,68,90
WV,DE,131,166
TN,DC,1319,1663
CA,FL,16101,22785
OR,MD,369,481
NJ,CT,4494,6075
IN,MO,4797,6348
WI,IN,4430,5924
NH,UT,134,169
NM,NJ,141,196
IL,AZ,5143,6821
IN,WV,965,1284
IL,OK,2120,2854
ID,AL,108,141
TX,WA,7223,10083
KY,VT,103,133
PA,FL,16333,23203
KY,CA,2771,4167
NC,TN,14798,20498
AZ,VT,91,119
OK,MN,552,708
OH,KS,1378,1806
NJ,GA,4184,5502
MT,AZ,582,820
MO,PA,2567,3473
SC,NY,3925,5444
SC,FL,14235,21324
PA,GA,6534,8926
LA,KS,319,418
DC,IA,162,272
TN,NC,10509,14944
DC,RI,90,112
NE,WA,462,669
NM,LA,275,361
MI,OH,17799,25065
ID,OH,282,350
NC,VT,426,532
WI,MD,1141,1632
UT,OR,1387,1926
NH,DC,316,400
AZ,MT,481,642
ID,ND,135,191
OH,NJ,5230,7368
VA,MT,334,481
ND,RI,9,11
ND,IN,111,153
TN,IA,876,1162
WI,OK,820,1098
TN,OR,750,1087
CO,NM,5101,7048
TX,RI,739,984
IL,GA,8464,11402
MT,NE,121,153
MT,NC,159,226
IN,MA,1563,2068
WY,AL,37,46
FL,DE,914,1197
NM,SD,60,93
LA,WA,479,658
MT,NY,203,295
AZ,OK,1109,1461
VT,AR,18,24
IA,WV,96,124
WV,NE,40,58
WI,AZ,1965,2602
PA,MN,2152,2781
KS,NV,534,679
UT,IN,435,600
OR,ID,1992,2634
AR,TN,5099,6963
OR,OK,223,279
NV,ME,55,66
NV,CO,1431,1995
KS,CA,3627,5416
NE,NE,13330,18375
IA,WI,3219,4459
NH,AR,83,119
PA,CA,10179,14733
AL,LA,6130,8941
IL,NC,5757,7745
NJ,MN,1303,1695
DE,LA,193,257
DE,MI,180,249
NE,NY,827,1162
CA,VT,348,436
NV,IA,167,220
SC,OH,2895,3966
AL,NM,562,813
SD,IN,186,259
TX,OK,26810,37723
MT,DE,7,7
OK,MS,948,1225
GA,NM,641,859
OK,NH,72,99
AZ,NV,5968,8296
NV,TX,2479,3610
NM,CA,2821,4299
CA,WI,2475,3231
MO,CT,519,669
WY,ID,469,603
AL,IN,1375,1818
PA,OR,901,1178
OK,AL,1140,1579
GA,IA,1050,1372
NC,NV,1792,2439
AR,VA,829,1107
PA,WY,214,286
SC,ME,418,583
OK,NC,837,1108
MT,CT,30,39
WY,MD,68,94
VT,MI,91,132
WI,WA,1135,1546
WI,WY,222,276
CO,IA,1773,2363
SD,KS,444,617
TN,VA,6420,8964
IA,IN,1842,2497
NC,ID,334,440
NH,IA,87,103
NE,RI,72,85
VA,OK,1064,1412
TN,WI,1582,2250
MO,TX,9166,13136
AR,NJ,462,628
